D202, WS2812B, 193.25, 73.25, T,   0, WS2812B
D203, WS2812B, 208.25, 73.25, T,   0, WS2812B
D204, WS2812B, 223.25, 73.25, T,   0, WS2812B
D205, WS2812B, 238.25, 73.25, T,   0, WS2812B
D206, WS2812B, 253.25, 73.25, T,   0, WS2812B
D207, WS2812B, 298.25, 73.25, T,   0, WS2812B
D208, WS2812B, 313.25, 73.25, T,   0, WS2812B
D209, WS2812B, 328.25, 73.25, T,   0, WS2812B
D210, WS2812B, 343.25, 73.25, T,   0, WS2812B
D211, WS2812B, 328.25, 208.25, T,   0, WS2812B
D212, WS2812B, 28.25, 43.25, T,   0, WS2812B
D213, WS2812B, 43.25, 43.25, T,   0, WS2812B
D214, WS2812B, 58.25, 43.25, T,   0, WS2812B
D215, WS2812B, 73.25, 43.25, T,   0, WS2812B
D216, WS2812B, 88.25, 43.25, T,   0, WS2812B
D217, WS2812B, 103.25, 43.25, T,   0, WS2812B
D218, WS2812B, 118.25, 43.25, T,   0, WS2812B
D219, WS2812B, 133.25, 43.25, T,   0, WS2812B
D220, WS2812B, 148.25, 43.25, T,   0, WS2812B
D221, WS2812B, 163.25, 43.25, T,   0, WS2812B
D222, WS2812B, 178.25, 43.25, T,   0, WS2812B
D223, WS2812B, 193.25, 43.25, T,   0, WS2812B
D224, WS2812B, 208.25, 43.25, T,   0, WS2812B
D225, WS2812B, 223.25, 43.25, T,   0, WS2812B
D226, WS2812B, 238.25, 43.25, T,   0, WS2812B
D227, WS2812B, 253.25, 43.25, T,   0, WS2812B
D228, WS2812B, 268.25, 43.25, T,   0, WS2812B
D229, WS2812B, 283.25, 43.25, T,   0, WS2812B
D230, WS2812B, 328.25, 43.25, T,   0, WS2812B
D231, WS2812B, 343.25, 43.25, T,   0, WS2812B
D232, WS2812B, 88.25, 28.25, T,   0, WS2812B
D233, WS2812B, 103.25, 28.25, T,   0, WS2812B
D234, WS2812B, 118.25, 28.25, T,   0, WS2812B
D235, WS2812B, 133.25, 28.25, T,   0, WS2812B
D236, WS2812B, 148.25, 28.25, T,   0, WS2812B
D237, WS2812B, 163.25, 28.25, T,   0, WS2812B
D238, WS2812B, 178.25, 28.25, T,   0, WS2812B
D239, WS2812B, 193.25, 28.25, T,   0, WS2812B
D240, WS2812B, 208.25, 28.25, T,   0, WS2812B
D241, WS2812B, 223.25, 28.25, T,   0, WS2812B
D242, WS2812B, 238.25, 28.25, T,   0, WS2812B
D243, WS2812B, 253.25, 28.25, T,   0, WS2812B
D244, WS2812B, 268.25, 28.25, T,   0, WS2812B
D245, WS2812B, 313.25, 28.25, T,   0, WS2812B
D246, WS2812B, 328.25, 28.25, T,   0, WS2812B
D247, WS2812B, 343.25, 28.25, T,   0, WS2812B
D248, WS2812B, 13.25, 43.25, T,   0, WS2812B
D250, WS2812B, 73.25, 13.25, T,   0, WS2812B
D251, WS2812B, 88.25, 13.25, T,   0, WS2812B
D252, WS2812B, 103.25, 13.25, T,   0, WS2812B
D253, WS2812B, 118.25, 13.25, T,   0, WS2812B
D254, WS2812B, 133.25, 13.25, T,   0, WS2812B
D255, WS2812B, 149.50, 13.25, T,   0, WS2812B
D256, WS2812B, 208.25, 13.25, T,   0, WS2812B
D257, WS2812B, 223.25, 13.25, T,   0, WS2812B
