JP48, SMT-JUMPER_2_NO_NO-SILK, 87.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP49, SMT-JUMPER_2_NO_NO-SILK, 102.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP50, SMT-JUMPER_2_NO_NO-SILK, 117.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP51, SMT-JUMPER_2_NO_NO-SILK, 132.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP52, SMT-JUMPER_2_NO_NO-SILK, 147.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP53, SMT-JUMPER_2_NO_NO-SILK, 162.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP54, SMT-JUMPER_2_NO_NO-SILK, 177.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP55, SMT-JUMPER_2_NO_NO-SILK, 192.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP56, SMT-JUMPER_2_NO_NO-SILK, 207.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP57, SMT-JUMPER_2_NO_NO-SILK, 222.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP58, SMT-JUMPER_2_NO_NO-SILK, 237.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP59, SMT-JUMPER_2_NO_NO-SILK, 252.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP60, SMT-JUMPER_2_NO_NO-SILK, 267.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP61, SMT-JUMPER_2_NO_NO-SILK, 282.81, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP64, SMT-JUMPER_2_NO_NO-SILK, 12.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP65, SMT-JUMPER_2_NO_NO-SILK, 27.80, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP66, SMT-JUMPER_2_NO_NO-SILK, 42.80, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP67, SMT-JUMPER_2_NO_NO-SILK, 57.80, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP68, SMT-JUMPER_2_NO_NO-SILK, 72.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP69, SMT-JUMPER_2_NO_NO-SILK, 87.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP70, SMT-JUMPER_2_NO_NO-SILK, 102.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP71, SMT-JUMPER_2_NO_NO-SILK, 117.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP72, SMT-JUMPER_2_NO_NO-SILK, 132.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP73, SMT-JUMPER_2_NO_NO-SILK, 147.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP74, SMT-JUMPER_2_NO_NO-SILK, 162.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP75, SMT-JUMPER_2_NO_NO-SILK, 177.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP76, SMT-JUMPER_2_NO_NO-SILK, 192.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP77, SMT-JUMPER_2_NO_NO-SILK, 207.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP78, SMT-JUMPER_2_NO_NO-SILK, 222.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP79, SMT-JUMPER_2_NO_NO-SILK, 237.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP80, SMT-JUMPER_2_NO_NO-SILK, 252.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP81, SMT-JUMPER_2_NO_NO-SILK, 267.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP82, SMT-JUMPER_2_NO_NO-SILK, 282.81, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP85, SMT-JUMPER_2_NO_NO-SILK, 12.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP86, SMT-JUMPER_2_NO_NO-SILK, 27.80, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP87, SMT-JUMPER_2_NO_NO-SILK, 42.80, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP88, SMT-JUMPER_2_NO_NO-SILK, 57.80, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP89, SMT-JUMPER_2_NO_NO-SILK, 72.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP90, SMT-JUMPER_2_NO_NO-SILK, 87.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP91, SMT-JUMPER_2_NO_NO-SILK, 102.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP92, SMT-JUMPER_2_NO_NO-SILK, 117.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP93, SMT-JUMPER_2_NO_NO-SILK, 132.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP94, SMT-JUMPER_2_NO_NO-SILK, 147.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP95, SMT-JUMPER_2_NO_NO-SILK, 162.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP96, SMT-JUMPER_2_NO_NO-SILK, 177.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP97, SMT-JUMPER_2_NO_NO-SILK, 192.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP98, SMT-JUMPER_2_NO_NO-SILK, 207.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP99, SMT-JUMPER_2_NO_NO-SILK, 222.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP100, SMT-JUMPER_2_NO_NO-SILK, 237.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP101, SMT-JUMPER_2_NO_NO-SILK, 252.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP102, SMT-JUMPER_2_NO_NO-SILK, 267.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP103, SMT-JUMPER_2_NO_NO-SILK, 282.81, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP106, SMT-JUMPER_2_NO_NO-SILK, 12.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP107, SMT-JUMPER_2_NO_NO-SILK, 27.80, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP108, SMT-JUMPER_2_NO_NO-SILK, 42.80, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP109, SMT-JUMPER_2_NO_NO-SILK, 57.80, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP110, SMT-JUMPER_2_NO_NO-SILK, 72.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP111, SMT-JUMPER_2_NO_NO-SILK, 87.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP112, SMT-JUMPER_2_NO_NO-SILK, 102.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP113, SMT-JUMPER_2_NO_NO-SILK, 117.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP114, SMT-JUMPER_2_NO_NO-SILK, 132.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP115, SMT-JUMPER_2_NO_NO-SILK, 147.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP116, SMT-JUMPER_2_NO_NO-SILK, 162.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP117, SMT-JUMPER_2_NO_NO-SILK, 177.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP118, SMT-JUMPER_2_NO_NO-SILK, 192.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP119, SMT-JUMPER_2_NO_NO-SILK, 207.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP120, SMT-JUMPER_2_NO_NO-SILK, 222.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP121, SMT-JUMPER_2_NO_NO-SILK, 237.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP122, SMT-JUMPER_2_NO_NO-SILK, 252.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP123, SMT-JUMPER_2_NO_NO-SILK, 267.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP124, SMT-JUMPER_2_NO_NO-SILK, 282.81, 112.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP127, SMT-JUMPER_2_NO_NO-SILK, 12.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP128, SMT-JUMPER_2_NO_NO-SILK, 27.80, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP129, SMT-JUMPER_2_NO_NO-SILK, 42.80, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP130, SMT-JUMPER_2_NO_NO-SILK, 57.80, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP131, SMT-JUMPER_2_NO_NO-SILK, 72.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP132, SMT-JUMPER_2_NO_NO-SILK, 87.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP133, SMT-JUMPER_2_NO_NO-SILK, 102.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP134, SMT-JUMPER_2_NO_NO-SILK, 117.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP135, SMT-JUMPER_2_NO_NO-SILK, 132.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP136, SMT-JUMPER_2_NO_NO-SILK, 147.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP137, SMT-JUMPER_2_NO_NO-SILK, 162.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP138, SMT-JUMPER_2_NO_NO-SILK, 177.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP139, SMT-JUMPER_2_NO_NO-SILK, 192.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP140, SMT-JUMPER_2_NO_NO-SILK, 207.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP141, SMT-JUMPER_2_NO_NO-SILK, 222.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP142, SMT-JUMPER_2_NO_NO-SILK, 237.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP143, SMT-JUMPER_2_NO_NO-SILK, 252.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP144, SMT-JUMPER_2_NO_NO-SILK, 267.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP145, SMT-JUMPER_2_NO_NO-SILK, 282.81, 97.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP148, SMT-JUMPER_2_NO_NO-SILK, 12.81, 82.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP149, SMT-JUMPER_2_NO_NO-SILK, 27.80, 82.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP150, SMT-JUMPER_2_NO_NO-SILK, 42.80, 82.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
